,tag,score
1022,win_VERB,0.53418595
1133,ha_INTERJ,0.5426799
1401,eh_INTERJ,0.5587854
1469,mark_SUBST,0.56294435
1793,british_ADJ,0.5805227
2086,yep_INTERJ,0.5941044
2525,party_SUBST,0.6123232
2920,mine_PRON,0.62868845
3263,usually_ADV,0.640485
3594,wish_VERB,0.6503943
3864,county_SUBST,0.65916777
3936,game_SUBST,0.66111875
4011,matter_SUBST,0.663252
4058,save_VERB,0.66466814
4188,body_SUBST,0.6683469
4239,lose_VERB,0.66966057
4503,class_SUBST,0.67797387
4516,world_SUBST,0.67828643
4536,machine_SUBST,0.67871606
4614,early_ADV,0.6809591
4736,market_SUBST,0.6841568
5172,bear_VERB,0.6969408
5213,programme_SUBST,0.69825774
5383,obviously_ADV,0.702947
5500,show_VERB,0.70628864
5519,full_ADJ,0.7068672
5599,plan_SUBST,0.7091558
5608,mind_SUBST,0.7095468
5627,although_CONJ,0.7102421
5704,change_SUBST,0.71257895
5922,believe_VERB,0.7192563
5932,training_SUBST,0.7195733
6141,teacher_SUBST,0.72555417
6303,short_ADJ,0.73060405
6315,business_SUBST,0.7308223
6425,local_ADJ,0.73414135
6435,fire_SUBST,0.7344408
6568,sometimes_ADV,0.7388014
6696,fair_ADJ,0.7428075
6703,die_VERB,0.74313164
6828,health_SUBST,0.7467639
6871,late_ADJ,0.74819326
6874,phone_SUBST,0.7482378
6894,story_SUBST,0.74902695
7111,g_SUBST,0.75568676
7152,cover_VERB,0.7571339
7218,ninety_ADJ,0.75927395
7257,bill_SUBST,0.76037794
7295,paper_SUBST,0.76169646
7296,everybody_PRON,0.76180005
7327,company_SUBST,0.7628452
7401,far_ADJ,0.7648046
7415,certainly_ADV,0.7654077
7428,early_ADJ,0.7659877
7485,second_ADJ,0.76770747
7535,already_ADV,0.76919514
7544,figure_SUBST,0.76969403
7548,report_SUBST,0.7698841
7595,line_SUBST,0.7715608
7608,nobody_PRON,0.7718504
7652,life_SUBST,0.77343976
7655,mention_VERB,0.77346706
7688,hold_VERB,0.7746291
7720,whole_ADJ,0.7757107
7728,miss_VERB,0.77592963
7748,tonight_ADV,0.77651983
7778,office_SUBST,0.77760524
7814,letter_SUBST,0.7791728
7838,real_ADJ,0.7798205
7881,without_PREP,0.78146255
7895,system_SUBST,0.7821263
7917,price_SUBST,0.782921
7950,kid_SUBST,0.7839988
7991,service_SUBST,0.7861446
8002,absolutely_ADV,0.786481
8016,hope_VERB,0.7871608
8024,tape_SUBST,0.7873695
8053,e_SUBST,0.7888014
8088,change_VERB,0.79077303
8106,lady_SUBST,0.79159236
8124,fine_ADJ,0.7924551
8129,size_SUBST,0.79263985
8146,watch_VERB,0.79391605
8167,bloody_ADJ,0.79469055
8182,yesterday_ADV,0.7953279
8199,light_SUBST,0.796112
8204,town_SUBST,0.7964035
8220,hand_SUBST,0.797138
8244,policy_SUBST,0.7981586
8247,often_ADV,0.79821676
8250,hard_ADJ,0.79835665
8267,boy_SUBST,0.7992048
8306,expect_VERB,0.8009451
